   AX      BX      NX      EX     EPX    Element    DX     DPX    DY     DPY      AY      BY      NY      EY     EPY     DetR     #
 -.91328 9.67872  .00000  .00642  .00204  REF       .0016 1.1E-4 -7.E-5 -9.E-6  2.64346 30.1053  .00000  .00698 -2.4E-4 -1.E-5    1
 -.91328 9.67872  .00000  .00642  .00204  MRK00102  .0016 1.1E-4 -7.E-5 -9.E-6  2.64346 30.1053  .00000  .00698 -2.4E-4 -1.E-5    2
 -.91328 9.67872  .00000  .00642  .00204  LL3       .0016 1.1E-4 -7.E-5 -9.E-6  2.64346 30.1053  .00000  .00698 -2.4E-4 -1.E-5    3
 -1.2051 12.9410  .02197  .00940  .00204  ZSH00101  .0018 1.1E-4 -8.E-5 -9.E-6  2.23485 22.5927  .00940  .00661 -2.4E-4 -1.E-5    4
 -1.2127 13.0389  .02247  .00948  .00204  MOV.1     .0018 1.1E-4 -8.E-5 -9.E-6  2.22411 22.4122  .00969  .00660 -2.4E-4 -1.E-5    5
 -1.2430 13.4306  .02438  .00979  .00204  LL9       .0018 1.1E-4 -8.E-5 -9.E-6  2.18179 21.7094  .01084  .00657 -2.4E-4 -1.E-5    6
 -1.2937 14.1101  .02748  .01031  .00204 QFS00101B.1 .0018 1.1E-4 -9.E-5 -9.E-6 2.11072 20.5597  .01286  .00650 -2.4E-4 -1.E-5    7
 -1.2935 14.1101  .02748  .01031  .00204  SPCQ.1    .0018 1.1E-4 -9.E-5 -9.E-6  2.11037 20.5597  .01286  .00650 -2.4E-4 -1.E-5    8
 -1.2935 14.1101  .02748  .01031  .00204 QFS00101A  .0018 1.1E-4 -9.E-5 -9.E-6  2.11037 20.5597  .01286  .00650 -2.4E-4 -1.E-5    9
  .45656 15.2842  .04147  .01211 6.31E-4  SPCQE.1   .0018 -1.E-4 -1.E-4 -3.E-5  -.39913 18.4112  .02400  .00674 5.70E-4 -1.E-5   10
  .45656 15.2842  .04147  .01211 6.31E-4 QFS00101B.2 .0018 -1.E-4 -1.E-4 -3.E-5 -.39913 18.4112  .02400  .00674 5.70E-4 -1.E-5   11
  .45656 15.2842  .04147  .01211 6.31E-4  MKQCTR.1  .0018 -1.E-4 -1.E-4 -3.E-5  -.39913 18.4112  .02400  .00674 5.70E-4 -1.E-5   12
  .45681 15.2842  .04147  .01211 6.31E-4  LL0.1     .0018 -1.E-4 -1.E-4 -3.E-5  -.39944 18.4112  .02400  .00674 5.70E-4 -1.E-5   13
  .33029 14.0248  .05889  .01332 6.31E-4  SPC.1     .0016 -1.E-4 -2.E-4 -3.E-5  -.50021 19.8506  .03733  .00770 5.70E-4 -1.E-5   14
  .33029 14.0248  .05889  .01332 6.31E-4  LL0.2     .0016 -1.E-4 -2.E-4 -3.E-5  -.50021 19.8506  .03733  .00770 5.70E-4 -1.E-5   15
  .20376 13.1704  .07767  .01452 6.31E-4  SPC.2     .0014 -1.E-4 -2.E-4 -3.E-5  -.60098 21.6125  .04964  .00867 5.70E-4 -1.E-5   16
  .20376 13.1704  .07767  .01452 6.31E-4  LL0.3     .0014 -1.E-4 -2.E-4 -3.E-5  -.60098 21.6125  .04964  .00867 5.70E-4 -1.E-5   17
  .07723 12.7208  .09740  .01573 6.31E-4  SPC.3     .0012 -1.E-4 -3.E-4 -3.E-5  -.70175 23.6969  .06090  .00963 5.70E-4 -1.E-5   18
  .07723 12.7208  .09740  .01573 6.31E-4  LL0.4     .0012 -1.E-4 -3.E-4 -3.E-5  -.70175 23.6969  .06090  .00963 5.70E-4 -1.E-5   19
 -.04930 12.6761  .11750  .01694 6.31E-4  SPC.4     .0010 -1.E-4 -3.E-4 -3.E-5  -.80252 26.1037  .07115  .01059 5.70E-4 -1.E-5   20
 -.04930 12.6761  .11750  .01694 6.31E-4  LL0.5     .0010 -1.E-4 -3.E-4 -3.E-5  -.80252 26.1037  .07115  .01059 5.70E-4 -1.E-5   21
 -.17583 13.0363  .13736  .01814 6.31E-4  SPC.5    8.3E-4 -1.E-4 -4.E-4 -3.E-5  -.90329 28.8330  .08043  .01155 5.70E-4 -1.E-5   22
 -.17583 13.0363  .13736  .01814 6.31E-4  LL19     8.3E-4 -1.E-4 -4.E-4 -3.E-5  -.90329 28.8330  .08043  .01155 5.70E-4 -1.E-5   23
 -.28795 13.6939  .15429  .01921 6.31E-4  ZSV00201 6.6E-4 -1.E-4 -4.E-4 -3.E-5  -.99259 31.5211  .08792  .01240 5.70E-4 -1.E-5   24
 -.29115 13.7173  .15476  .01924 6.31E-4  MOV.2    6.5E-4 -1.E-4 -4.E-4 -3.E-5  -.99514 31.6016  .08813  .01242 5.70E-4 -1.E-5   25
 -.30377 13.8122  .15660  .01936 6.31E-4  LL26     6.3E-4 -1.E-4 -4.E-4 -3.E-5  -1.0051 31.9206  .08893  .01252 5.70E-4 -1.E-5   26
 -.32523 13.9829  .15971  .01957 6.31E-4 QDS00201B.1 6.0E-4 -1.E-4 -4.E-4 -3.E-5 -1.0222 32.4710 .09027  .01268 5.70E-4 -1.E-5   27
 -.32494 13.9829  .15971  .01957 6.30E-4  SPCQ.2   6.0E-4 -1.E-4 -4.E-4 -3.E-5  -1.0229 32.4710  .09027  .01268 5.70E-4 -1.E-5   28
 -.32494 13.9829  .15971  .01957 6.30E-4 QDS00201A 6.0E-4 -1.E-4 -4.E-4 -3.E-5  -1.0229 32.4710  .09027  .01268 5.70E-4 -1.E-5   29
 -3.6908 20.2569  .17680  .02389  .00436  SPCQE.2  4.6E-4 -5.E-5 -4.E-4 5.2E-5  4.07198 26.6340  .09911  .01173 -.00163 -1.E-5   30
 -3.6908 20.2569  .17680  .02389  .00436 QDS00201B.2 4.6E-4 -5.E-5 -4.E-4 5.2E-5 4.07198 26.6340 .09911  .01173 -.00163 -1.E-5   31
 -3.6908 20.2569  .17680  .02389  .00436  MKQCTR.2 4.6E-4 -5.E-5 -4.E-4 5.2E-5  4.07198 26.6340  .09911  .01173 -.00163 -1.E-5   32
 -3.6904 20.2569  .17680  .02389  .00436  LL36     4.6E-4 -5.E-5 -4.E-4 5.2E-5  4.07142 26.6340  .09911  .01173 -.00163 -1.E-5   33
 -4.3482 27.5837  .18294  .02790  .00436  ZSH00302 4.1E-4 -5.E-5 -4.E-4 5.2E-5  3.46993 19.7605  .10543  .01019 -.00163 -1.E-5   34
 -4.3774 27.9371  .18317  .02808  .00436  MOV.3    4.1E-4 -5.E-5 -4.E-4 5.2E-5  3.44320 19.4805  .10576  .01012 -.00163 -1.E-5   35
 -4.4925 29.3518  .18406  .02878  .00436  LL43     4.0E-4 -5.E-5 -3.E-4 5.2E-5  3.33795 18.3989  .10710  .00986 -.00163 -1.E-5   36
 -4.6835 31.7798  .18544  .02995  .00436 QFT00301B.1 3.9E-4 -5.E-5 -3.E-4 5.2E-5 3.16333 16.6787 .10951  .00941 -.00163 -1.E-5   37
 -4.6840 31.7798  .18544  .02995  .00436  SPCQ.3   3.9E-4 -5.E-5 -3.E-4 5.2E-5  3.16363 16.6787  .10951  .00941 -.00163 -1.E-5   38
 -4.6840 31.7798  .18544  .02995  .00436 QFT00301A 3.9E-4 -5.E-5 -3.E-4 5.2E-5  3.16363 16.6787  .10951  .00941 -.00163 -1.E-5   39
  .06405 39.4069  .19208  .03335 -1.5E-4  SPCQE.3  2.8E-4 -1.E-4 -3.E-4 4.4E-6   .77607 11.0463  .12814  .00780 -4.5E-4 -1.E-5   40
  .06405 39.4069  .19208  .03335 -1.5E-4 QFT00301B.2 2.8E-4 -1.E-4 -3.E-4 4.4E-6 .77607 11.0463  .12814  .00780 -4.5E-4 -1.E-5   41
  .06405 39.4069  .19208  .03335 -1.5E-4  MKQCTR.3 2.8E-4 -1.E-4 -3.E-4 4.4E-6   .77607 11.0463  .12814  .00780 -4.5E-4 -1.E-5   42
  .06335 39.4069  .19208  .03335 -1.4E-4  LL0.6    2.8E-4 -1.E-4 -3.E-4 4.4E-6   .77627 11.0463  .12814  .00780 -4.5E-4 -1.E-5   43
  .02258 39.2694  .19856  .03327 -1.4E-4  SPC.6    1.2E-4 -1.E-4 -3.E-4 4.4E-6   .54414 8.93364  .15389  .00708 -4.5E-4 -1.E-5   44
  .02258 39.2694  .19856  .03327 -1.4E-4  LL53     1.2E-4 -1.E-4 -3.E-4 4.4E-6   .54414 8.93364  .15389  .00708 -4.5E-4 -1.E-5   45
  .00183 39.2495  .20186  .03323 -1.4E-4 BP0100401 4.3E-5 -1.E-4 -3.E-4 4.4E-6   .42596 8.14340  .16911  .00671 -4.5E-4 -1.E-5   46
 -.00327 39.2498  .20267  .03322 -1.4E-4  LL60     2.3E-5 -1.E-4 -3.E-4 4.4E-6   .39694 7.97882  .17306  .00661 -4.5E-4 -1.E-5   47
 -.01357 39.2566  .20431  .03321 -1.4E-4  MRK00401 -2.E-5 -1.E-4 -3.E-4 4.4E-6   .33824 7.68136  .18129  .00643 -4.5E-4 -1.E-5   48
 -.01357 39.2566  .20431  .03321 -1.4E-4 QFP00401B.1 -2.E-5 -1.E-4 -3.E-4 4.4E-6 .33824 7.68136  .18129  .00643 -4.5E-4 -1.E-5   49
 -.01353 39.2566  .20431  .03321 -1.4E-4  SPCQ.4   -2.E-5 -1.E-4 -3.E-4 4.4E-6   .33824 7.68136  .18129  .00643 -4.5E-4 -1.E-5   50
 -.01353 39.2566  .20431  .03321 -1.4E-4 QFP00401A -2.E-5 -1.E-4 -3.E-4 4.4E-6   .33824 7.68136  .18129  .00643 -4.5E-4 -1.E-5   51
 2.75862 36.6399  .20818  .03201 -.00259  SPCQE.4  -1.E-4 -9.E-5 -3.E-4 -2.E-5  -.35492 7.69654  .20082  .00624 1.96E-5 -1.E-5   52
 2.75862 36.6399  .20818  .03201 -.00259 QFP00401B.2 -1.E-4 -9.E-5 -3.E-4 -2.E-5 -.35492 7.69654 .20082  .00624 1.96E-5 -1.E-5   53
 2.75862 36.6399  .20818  .03201 -.00259  MKQCTR.4 -1.E-4 -9.E-5 -3.E-4 -2.E-5  -.35492 7.69654  .20082  .00624 1.96E-5 -1.E-5   54
 2.75866 36.6399  .20818  .03201 -.00259  LL69     -1.E-4 -9.E-5 -3.E-4 -2.E-5  -.35492 7.69654  .20082  .00624 1.96E-5 -1.E-5   55
 2.66443 34.4652  .20997  .03101 -.00259  MS000501 -1.E-4 -9.E-5 -3.E-4 -2.E-5  -.41359 8.00471  .20895  .00625 1.97E-5 -1.E-5   56
 2.45794 29.9642  .21432  .02881 -.00259  LL75     -2.E-4 -9.E-5 -3.E-4 -2.E-5  -.54214 8.84451  .22561  .00629 1.97E-5 -1.E-5   57
 2.43223 29.4292  .21491  .02854 -.00259  MS100501 -2.E-4 -9.E-5 -3.E-4 -2.E-5  -.55814 8.96488  .22756  .00629 1.97E-5 -1.E-5   58
 2.22195 25.2647  .22013  .02630 -.00259  SPCA.1   -3.E-4 -9.E-5 -3.E-4 -2.E-5  -.68905 10.0808  .24256  .00632 1.98E-5 -1.E-5   59
 2.22195 25.2647  .22013  .02630 -.00259  LL77     -3.E-4 -9.E-5 -3.E-4 -2.E-5  -.68905 10.0808  .24256  .00632 1.98E-5 -1.E-5   60
 1.93980 20.2677  .22858  .02330 -.00259  SPCA.2   -4.E-4 -9.E-5 -3.E-4 -2.E-5  -.86471 11.9464  .26001  .00637 1.98E-5 -1.E-5   61
 1.93980 20.2677  .22858  .02330 -.00259 MS2100501 -4.E-4 -9.E-5 -3.E-4 -2.E-5  -.86471 11.9464  .26001  .00637 1.98E-5 -1.E-5   62
 1.58730 14.9770  .24230  .01955 -.00259  SPCA.3   -6.E-4 -9.E-5 -4.E-4 -2.E-5  -1.0841 14.8697  .27796  .00643 1.99E-5 -1.E-5   63
 1.58730 14.9770  .24230  .01955 -.00259  LL0.7    -6.E-4 -9.E-5 -4.E-4 -2.E-5  -1.0841 14.8697  .27796  .00643 1.99E-5 -1.E-5   64
 1.21131 10.4992  .26266  .01555 -.00259  SPC.7    -7.E-4 -9.E-5 -4.E-4 -2.E-5  -1.3182 18.7135  .29325  .00649 2.00E-5 -1.E-5   65
 1.21131 10.4992  .26266  .01555 -.00259  LL0.8    -7.E-4 -9.E-5 -4.E-4 -2.E-5  -1.3182 18.7135  .29325  .00649 2.00E-5 -1.E-5   66
   AX      BX      NX      EX     EPX    Element    DX     DPX    DY     DPY      AY      BY      NY      EY     EPY     DetR     #
  .83532 7.22466  .29207  .01155 -.00259  LL80     -8.E-4 -9.E-5 -4.E-4 -2.E-5  -1.5523 23.3063  .30546  .00655 2.01E-5 -1.E-5   67
  .76482 6.74462  .29891  .01080 -.00259  SPCA.4   -9.E-4 -9.E-5 -4.E-4 -2.E-5  -1.5961 24.2509  .30747  .00656 2.01E-5 -1.E-5   68
  .76482 6.74462  .29891  .01080 -.00259 BP0200501 -9.E-4 -9.E-5 -4.E-4 -2.E-5  -1.5961 24.2509  .30747  .00656 2.01E-5 -1.E-5   69
  .64732 6.03855  .31139  .00955 -.00259  LL82     -9.E-4 -9.E-5 -4.E-4 -2.E-5  -1.6693 25.8837  .31064  .00658 2.01E-5 -1.E-5   70
  .53780 5.48622  .32430  .00839 -.00259 QDT00501B.1 -.0010 -9.E-5 -5.E-4 -2.E-5 -1.7375 27.4714 .31342  .00660 2.01E-5 -1.E-5   71
  .53787 5.48622  .32430  .00839 -.00259  SPCQ.5   -.0010 -9.E-5 -5.E-4 -2.E-5  -1.7378 27.4714  .31342  .00660 2.02E-5 -1.E-5   72
  .53787 5.48622  .32430  .00839 -.00259 QDT00501A -.0010 -9.E-5 -5.E-4 -2.E-5  -1.7378 27.4714  .31342  .00660 2.02E-5 -1.E-5   73
 -.64286 5.67132  .38327  .00472 -.00165  SPCQE.5  -.0013 -3.E-4 -4.E-4 4.8E-5  2.25826 26.3603  .32430  .00569 -9.1E-4 -1.E-5   74
 -.64286 5.67132  .38327  .00472 -.00165 QDT00501B.2 -.0013 -3.E-4 -4.E-4 4.8E-5 2.25826 26.3603 .32430  .00569 -9.1E-4 -1.E-5   75
 -.64286 5.67132  .38327  .00472 -.00165  MKQCTR.5 -.0013 -3.E-4 -4.E-4 4.8E-5  2.25826 26.3603  .32430  .00569 -9.1E-4 -1.E-5   76
 -.64279 5.67132  .38327  .00472 -.00165  LL90     -.0013 -3.E-4 -4.E-4 4.8E-5  2.25794 26.3603  .32430  .00569 -9.1E-4 -1.E-5   77
 -.70908 6.03099  .39052  .00435 -.00165  BMPMOV   -.0014 -3.E-4 -4.E-4 4.8E-5  2.19639 25.1753  .32595  .00544 -9.1E-4 -1.E-5   78
 -.70908 6.03099  .39052  .00435 -.00165  ZSV00502 -.0014 -3.E-4 -4.E-4 4.8E-5  2.19639 25.1753  .32595  .00544 -9.1E-4 -1.E-5   79
 -.71917 6.08883  .39158  .00429 -.00165  MOV.4    -.0014 -3.E-4 -4.E-4 4.8E-5  2.18702 24.9977  .32620  .00540 -9.1E-4 -1.E-5   80
 -.75892 6.32459  .39567  .00407 -.00165  LL98     -.0014 -3.E-4 -4.E-4 4.8E-5  2.15012 24.3060  .32723  .00524 -9.1E-4 -1.E-5   81
 -.90718 7.31591  .40961  .00324 -.00165 KM0100601 -.0016 -3.E-4 -4.E-4 4.8E-5  2.01247 21.8292  .33135  .00468 -9.1E-4 -1.E-5   82
 -1.0940 8.81685  .42450  .00220 -.00165  LL102    -.0018 -3.E-4 -3.E-4 4.8E-5  1.83896 18.9406  .33722  .00396 -9.1E-4 -1.E-5   83
 -1.1314 9.15067  .42715  .00199 -.00165  SPCA.5   -.0018 -3.E-4 -3.E-4 4.8E-5  1.80426 18.3942  .33850  .00381 -9.1E-4 -1.E-5   84
 -1.1314 9.15067  .42715  .00199 -.00165 KM0200601 -.0018 -3.E-4 -3.E-4 4.8E-5  1.80426 18.3942  .33850  .00381 -9.1E-4 -1.E-5   85
 -1.3183 10.9880  .43907 9.47E-4 -.00165  LL104    -.0020 -3.E-4 -3.E-4 4.8E-5  1.63075 15.8179  .34550  .00310 -9.1E-4 -1.E-5   86
 -1.3557 11.3891  .44120 7.38E-4 -.00165 KM0300601 -.0020 -3.E-4 -3.E-4 4.8E-5  1.59605 15.3339  .34703  .00295 -9.1E-4 -1.E-5   87
 -1.5425 13.5628  .45081 -3.0E-4 -.00165  LL106    -.0022 -3.E-4 -3.E-4 4.8E-5  1.42255 13.0699  .35547  .00223 -9.1E-4 -1.E-5   88
 -1.6111 14.4300  .45394 -6.9E-4 -.00165 KM0400601 -.0023 -3.E-4 -2.E-4 4.8E-5  1.35893 12.3050  .35892  .00197 -9.1E-4 -1.E-5   89
 -1.6983 15.5883  .45766 -.00117 -.00165  SPCA.6   -.0024 -3.E-4 -2.E-4 4.8E-5  1.27796 11.3821  .36362  .00164 -9.1E-4 -1.E-5   90
 -1.6983 15.5883  .45766 -.00117 -.00165  LL0.9    -.0024 -3.E-4 -2.E-4 4.8E-5  1.27796 11.3821  .36362  .00164 -9.1E-4 -1.E-5   91
 -2.0970 21.6609  .47153 -.00340 -.00165  LL108    -.0028 -3.E-4 -1.E-4 4.8E-5   .90781 7.88493  .39063 1.05E-4 -9.1E-4 -1.E-5   92
 -2.1543 22.6387  .47318 -.00372 -.00165  BMPMOH   -.0028 -3.E-4 -1.E-4 4.8E-5   .85460 7.47957  .39540 -1.2E-4 -9.1E-4 -1.E-5   93
 -2.1543 22.6387  .47318 -.00372 -.00165  ZSH00603 -.0028 -3.E-4 -1.E-4 4.8E-5   .85460 7.47957  .39540 -1.2E-4 -9.1E-4 -1.E-5   94
 -2.1644 22.8136  .47347 -.00377 -.00165  MOV.5    -.0029 -3.E-4 -1.E-4 4.8E-5   .84523 7.41073  .39627 -1.5E-4 -9.1E-4 -1.E-5   95
 -2.2041 23.5104  .47456 -.00400 -.00165  LL113    -.0029 -3.E-4 -1.E-4 4.8E-5   .80833 7.14699  .39976 -3.1E-4 -9.1E-4 -1.E-5   96
 -2.2340 24.0430  .47537 -.00416 -.00165  MRK00601 -.0029 -3.E-4 -1.E-4 4.8E-5   .78057 6.95632  .40246 -4.2E-4 -9.1E-4 -1.E-5   97
 -2.2340 24.0430  .47537 -.00416 -.00165  MRK00602 -.0029 -3.E-4 -1.E-4 4.8E-5   .78057 6.95632  .40246 -4.2E-4 -9.1E-4 -1.E-5   98
 -2.2340 24.0430  .47537 -.00416 -.00165  LL120    -.0029 -3.E-4 -1.E-4 4.8E-5   .78057 6.95632  .40246 -4.2E-4 -9.1E-4 -1.E-5   99
 -2.2718 24.7270  .47636 -.00437 -.00165 QFR00601B.1 -.0030 -3.E-4 -1.E-4 4.8E-5 .74545 6.72467  .40600 -5.7E-4 -9.1E-4 -1.E-5  100
 -2.2715 24.7270  .47636 -.00437 -.00165  SPCQ.6   -.0030 -3.E-4 -1.E-4 4.8E-5   .74537 6.72467  .40600 -5.7E-4 -9.1E-4 -1.E-5  101
 -2.2715 24.7270  .47636 -.00437 -.00165 QFR00601A -.0030 -3.E-4 -1.E-4 4.8E-5   .74537 6.72467  .40600 -5.7E-4 -9.1E-4 -1.E-5  102
 2.25543 24.7600  .48743 -.00656 -6.5E-4  SPCQE.6  -.0029 3.0E-4 -4.E-5 3.7E-5  -.72738 6.69516  .45210 -.00249 -.00118 -1.E-5  103
 2.25543 24.7600  .48743 -.00656 -6.5E-4 QFR00601B.2 -.0029 3.0E-4 -4.E-5 3.7E-5 -.72738 6.69516 .45210 -.00249 -.00118 -1.E-5  104
 2.25543 24.7600  .48743 -.00656 -6.5E-4  MKQCTR.6 -.0029 3.0E-4 -4.E-5 3.7E-5  -.72738 6.69516  .45210 -.00249 -.00118 -1.E-5  105
 2.25573 24.7600  .48743 -.00656 -6.5E-4  LL125    -.0029 3.0E-4 -4.E-5 3.7E-5  -.72746 6.69516  .45210 -.00249 -.00118 -1.E-5  106
 2.15447 22.9439  .49018 -.00695 -6.5E-4 BP0300601 -.0028 3.0E-4 -2.E-5 3.7E-5  -.82152 7.33303  .46146 -.00299 -.00118 -1.E-5  107
 2.10530 22.0919  .49159 -.00714 -6.5E-4 REFINJDMP -.0028 3.0E-4 -2.E-5 3.7E-5  -.86720 7.67077  .46571 -.00323 -.00118 -1.E-5  108
 2.10530 22.0919  .49159 -.00714 -6.5E-4  LL0.10   -.0028 3.0E-4 -2.E-5 3.7E-5  -.86720 7.67077  .46571 -.00323 -.00118 -1.E-5  109
 1.71187 15.9845  .50516 -.00865 -6.5E-4  SPC.8    -.0023 3.0E-4 4.2E-5 3.7E-5  -1.2326 11.0305  .49353 -.00517 -.00118 -1.E-5  110
 1.71187 15.9845  .50516 -.00865 -6.5E-4  LL0.11   -.0023 3.0E-4 4.2E-5 3.7E-5  -1.2326 11.0305  .49353 -.00517 -.00118 -1.E-5  111
 1.31844 11.1360  .52429 -.01016 -6.5E-4  SPC.9    -.0018 3.0E-4 1.0E-4 3.7E-5  -1.5980 15.5597  .51302 -.00711 -.00118 -1.E-5  112
 1.31844 11.1360  .52429 -.01016 -6.5E-4  LL0.12   -.0018 3.0E-4 1.0E-4 3.7E-5  -1.5980 15.5597  .51302 -.00711 -.00118 -1.E-5  113
  .92501 7.54654  .55221 -.01167 -6.5E-4  SPC.10   -.0013 3.0E-4 1.6E-4 3.7E-5  -1.9635 21.2583  .52704 -.00905 -.00118 -1.E-5  114
